Dataset,Label
PE35_KO_vs_mbio_H37Rv,flute
PPE68_KO_vs_mbio_H37Rv,flute
Rv0950c_KO_vs_CB_WT,flute
Rv0954_KO_vs_RJ_WT,flute
Rv1096_KO_vs_CB_WT,flute
Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,flute
Rv3594_KO_vs_Rubin_FLUTE_WT,flute
Rv3684_KO_vs_CB_WT,flute
Rv3717_KO_vs_Rubin_FLUTE_WT,flute
Rv3811_KO_vs_Rubin_FLUTE_WT,flute
bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose
bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose
bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,bellerose
carey_621_vs_carey_rv,carey
carey_630_vs_carey_rv,carey
carey_631_vs_carey_rv,carey
carey_632_vs_carey_rv,carey
carey_641_vs_carey_rv,carey
carey_662_vs_carey_rv,carey
carey_663_vs_carey_rv,carey
carey_667_vs_carey_rv,carey
dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus
dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,flute
dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus
dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus
dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus
dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus
dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus
dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus
dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus
dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus
dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus
dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,flute
eccD1_KO_vs_mbio_H37Rv,flute
espI_KO_vs_mbio_H37Rv,flute
griffin_cholesterol_vs_griffin_glycerol,griffin
griffin_glycerol_vs_mbio_H37Rv,griffin
kieser_dPonA1_vs_mbio_H37Rv,kieser
korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,korte
marP_KO_vs_marP_WT,flute
minato_minimal_plate_vs_minato_rich_plate,minato
mishra_C3H_vs_mishra_B6,mishra
mishra_NOS2_vs_mishra_B6,mishra
mishra_NOS2_vs_mishra_C3H,mishra
nambi_2015_ctpC_vs_nambi_2015_wt,nambi
ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus
ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,ritterhaus
xu_emb_2.5_vs_xu_emb_0,xu
xu_emb_3_vs_xu_emb_0,xu
xu_inh_025_vs_xu_inh_0,xu
xu_inh_02_vs_xu_inh_0,xu
xu_mero_2.5_vs_xu_mero_0,xu
xu_rif_4_vs_xu_rif_0,xu
xu_van_16_vs_xu_van_0,xu
zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang
zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang
zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang
zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang
zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang
zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang
zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang
zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang
zhang_wt_mouse_d10_vs_zhang_input_library,zhang
zhang_wt_mouse_d45_vs_zhang_input_library,zhang
