Rv_ID,Name,griffin_cholesterol_vs_griffin_glycerol,2011_Griffin_2
Rv0009,ppiA,0.0,1
Rv0153c,ptbB,0.0,1
Rv0202c,mmpL11,0.0,1
Rv0655,mkl,0.0,1
Rv0695,-,0.0,1
Rv0696,-,0.0,1
Rv0876c,-,0.0,1
Rv1071c,echA9,0.0,1
Rv1084,-,0.0,1
Rv1096,-,0.0,1
Rv1608c,bcpB,0.0,1
Rv1798,eccA5,0.0,1
Rv1906c,-,0.0,1
Rv1919c,-,0.0,1
Rv2118c,-,0.0,1
Rv2206,-,0.0,1
Rv2239c,-,0.0,1
Rv2416c,eis,0.0,1
Rv2668,-,0.0,1
Rv2681,-,0.0,1
Rv2710,sigB,0.0,1
Rv2799,-,0.0,1
Rv2914c,pknI,0.0,1
Rv2985,mutT1,0.0,1
Rv3050c,-,0.0,1
Rv3274c,fadE25,0.0,1
Rv3419c,gcp,0.0,1
Rv3515c,fadD19,0.0,1
Rv3534c,hsaF,0.0,1
Rv3536c,hsaE,0.0,1
Rv3548c,-,0.0,1
Rv3572,-,0.0,1
Rv3573c,fadE34,0.0,1
Rv3779,-,0.0,1
Rv3820c,papA2,0.0,1
Rv3824c,papA1,0.0,1
Rv3911,sigM,0.0,1
